weather _id,district_id,MaxT,MinT,WindSpeed,Humidity ,Precipitation
147,147,36.9,28.5,4.4,66.6,3.4
148,148,35.4,27.7,3.8,84.8,5.9
149,149,32.7,26.9,4.3,62.2,12.8
150,150,35,27.2,3.5,66.2,0
151,151,38.6,29.1,3.7,59.1,0
152,152,39.3,29.2,4.1,57.7,0
153,153,39.8,29.5,4.6,53.7,0
154,154,37.6,28.7,4,55.8,0
155,155,39.1,29,4.4,54.9,0
156,156,39.2,28.9,4,56.9,0
157,157,37.1,28.2,3.6,53.4,0
158,158,36.2,28.8,3.7,48.9,12.7
159,159,39.3,29.3,3.4,50.8,0
160,160,38.1,29.1,2.8,48.3,3.4
161,161,38.8,28.6,2.9,57,0
162,162,38.6,28.8,2.7,56.7,4.5
163,163,37.4,28,2.8,52.6,4.5
164,164,36.6,28.1,3,60.8,0
165,165,31.1,25.6,2,72.3,18.7
166,166,33.5,26.5,1.9,72,0
167,167,33.1,27.9,2.2,70.5,21.6
168,168,34.2,26.4,2.8,70.7,10.8
169,169,34.5,27.2,3.6,68.4,5.4
170,170,35.6,27.3,4.1,67.7,0
171,171,35.3,27.4,4.3,68.5,4.5
172,172,30.8,26.8,3.4,75.9,22.7
173,173,30.1,26.2,4.1,69.9,13.6
174,174,31.8,26.8,5,74.9,4.5
175,175,32.4,26.6,4.6,67,19.5
176,176,29.1,26.8,4.9,62.7,20.8
177,177,30.5,26.9,5.5,69,20.8
178,178,32,27.8,4.9,83.3,6.5
179,179,34.7,27.8,5,56.6,0
180,180,35.5,27.7,4.7,62.5,0
181,181,36.4,28.2,4.7,68.8,0
182,182,37.2,29.6,4.9,63.8,0
183,183,36.4,29.5,5.2,63.2,0
184,184,36.5,29.5,5,64.4,0
185,185,36.7,29,4.7,68.6,0
186,186,35.5,28,4.4,72.6,0
187,187,36.9,28.9,5,69.9,0
188,188,34.1,27.5,4.9,69.8,10.5
189,189,33.8,27,5,63.7,10.5
190,190,36.5,28.5,4.4,66.6,0
191,191,36.4,28.9,4.8,62.4,0
192,192,36.6,27.6,4.4,73.8,0
193,193,36.3,27.7,4.2,76.9,0
194,194,34.6,28.6,4.4,77.4,13.2
195,195,32.6,27,4.5,76.3,34.6
196,196,32.7,24.7,4.5,76.2,11.5
197,197,32.8,26,4.2,74.9,5.8
198,198,34.6,27.3,3.6,74.9,0
199,199,30,26.7,3.6,78.3,0
200,200,31,26.2,3.5,82.4,32.2
201,201,28.6,25.2,4.1,85.3,43.3
202,202,30.2,25.2,4.7,76.7,0
203,203,30.2,25.7,5.2,75.3,6.6
204,204,32.4,26.6,4.9,75.8,0
205,205,34.3,27.7,5,70.9,0
206,206,30.7,27,4.2,76,32
207,207,27.4,25.7,4.6,69.1,51.2
208,208,25.7,24.5,4.7,70.6,51.2
209,209,27,24.4,5.1,69,51.2
210,210,30.9,25.1,4.5,85.2,12.8
211,211,32.6,26.1,4.7,75.2,0
212,212,34,26.2,4.3,74.6,0
213,213,34.1,27,4.5,76.8,0
214,214,33.7,26.1,4,75,15.5
215,215,33.3,26.1,4.4,73.6,15.5
216,216,32.4,25.8,4.1,73.1,3.1
217,217,31.5,26.5,3.8,73.4,4.3
218,218,32.9,27.2,4.9,72.6,0
219,219,34.1,27.6,4.8,69.4,0
220,220,33.5,28.2,4.5,71.5,10
221,221,32.7,27.2,4,78.4,11.8
222,222,32.3,26.1,4.5,72.5,4.7
223,223,34.1,27,4.1,78.8,0
224,224,35.7,26.9,2.7,72.6,6.9
225,225,33.7,26.5,3.1,70.3,9.4
226,226,32.5,26.5,3.3,65.6,6.7
227,227,30,26.4,3.9,78.1,16.8
228,228,32.6,27.2,3.2,71.3,3.3
229,229,33.8,27,3.3,77.7,10.1
230,230,34.4,26,2.7,76.7,0
231,231,33.3,27.9,3.5,75.1,0
232,232,32.6,27.7,3.8,73.3,5.1
233,233,29.6,26.3,4,70.9,10.1
234,234,30.9,25.6,3.8,73.2,12.7
235,235,31.8,26.3,4.1,73.9,0
236,236,32.8,26.8,3.8,68,0
237,237,35,26.6,3.1,67.5,0
238,238,34.7,26.3,2.2,73.4,5.8
239,239,34.7,26.8,2.5,67.2,14.9
240,240,35.2,26.4,2.7,74.1,20.8
241,241,31.7,24.9,2.9,79.3,11.9
242,242,33.6,26.7,2.6,81,11.1
243,243,33.6,27.1,2.2,75.4,0
244,244,34.5,26.9,1.8,77.8,0
245,245,34.5,27,2.4,79.7,0
246,246,34.1,26.9,2.1,83.2,0
247,247,33.5,27.3,2.5,69.5,0
248,248,35.1,27.5,2.3,76.3,0
249,249,34.4,26.8,1.7,66.3,3.8
250,250,33.6,25.7,2.1,72.2,7.7
251,251,29.4,25.1,1.7,82.4,12.8
252,252,29.1,25.1,2.7,75.3,25.8
253,253,28.8,24.8,3.4,77.2,34.4
254,254,29.7,25,3.3,73.7,13
255,255,28.1,24.8,3.7,77.6,8.6
256,256,28.8,24.4,3.5,74.6,17.2
257,257,30.4,25.4,3.8,77.8,9.4
258,258,31.3,26.6,3.6,74.6,10.8
259,259,30.7,26.3,3,76.1,6.6
260,260,32.3,25.7,2.7,76.9,11.3
261,261,32.7,25.3,2.5,80.6,0
262,262,34.1,25.7,2.9,71.8,0
263,263,34.7,25.8,2.5,73.2,0
264,264,34.8,26.2,2.1,73.3,9.3
265,265,31.7,26.5,2.7,70.3,14
266,266,32.1,25.6,4.1,70.4,0
267,267,32.5,23.9,3.2,77.3,0
268,268,32.7,25.4,1.3,82.4,0
269,269,33.2,26.1,1.2,77.4,0
270,270,33.9,26.5,1.7,76.7,0
271,271,34.9,27,2.8,79.5,0
272,272,35.6,27.3,2.2,74.9,0
273,273,35.6,26.6,1.8,75.9,0
274,274,35,27.1,2.1,68.3,0
275,275,35.1,26.4,1.7,73,0
276,276,35,26.1,1.6,72.2,0
277,277,34.9,26.4,1.3,73.4,0
278,278,35.1,26.4,1.8,67.8,8.9
279,279,34.3,26.4,1.6,71.7,0
280,280,34.2,25.9,1.6,70.5,0
281,281,34.1,25.7,1.9,71.6,0
282,282,34.1,25.5,1.9,71.9,0
283,283,33.9,25.7,1.6,65.4,0
284,284,32.2,25.3,2.1,74.3,0
285,285,34,24.1,1.5,79.3,0
286,286,33.5,25,2,73,0
287,287,33.6,24.5,1.3,70.8,0
288,288,33.2,24.8,2,79.4,0
289,289,33.3,24.9,1.2,80.5,0
290,290,32.7,24.9,2,80.6,0
291,291,32.2,24.5,2,67.5,0
292,292,31.2,23.9,1.6,73.2,19.2
293,293,30.6,23.7,2.1,83.7,38.3
294,294,26.6,23.7,2.2,72.8,46.8
295,295,24.9,23.4,2.2,80.6,57.4
296,296,26.2,23.5,2.2,81.8,85.1
297,297,26.4,23.4,2.1,82.6,19.2
298,298,26.9,24.2,1.5,85.8,0
299,299,28.1,24,2,88.4,35.4
300,300,29.2,24.7,0.9,69.1,22.6
301,301,30.9,24.6,1.1,83.5,0
302,302,31.2,24.3,1.2,76.9,0
303,303,31.4,24.7,1,79.3,0
304,304,30.8,24.4,0.9,81.9,0
305,305,29.8,23.5,1.2,78.2,0
306,306,27.7,23,1.1,79.4,0
307,307,29.7,22.7,1.7,80.4,0
308,308,30.7,23,2.1,76.8,0
309,309,30.5,23.3,1.9,80.5,0
310,310,29.5,22.9,2,79.6,4.9
311,311,30.4,22.8,1.9,75.5,0
312,312,30.2,23,1.8,73.1,0
313,313,30.3,23.3,1.5,77.6,0
314,314,30.5,23.3,1.8,74.1,0
